Transect,Order,Waypoint,Latitude,Longitude,Type,Label
1,0.1,1.1,32.963698,-117.293732,Adaptive,1A
1,0.2,1.2,32.279897,-118.686985,Adaptive,1A
2,0.1,2.1,32.571836,-118.862684,Adaptive,2A
2,0.2,2.2,32.781386,-118.439365,Adaptive,2A
2,0.3,2.3,32.770995,-118.387196,Adaptive,2A
2,0.4,2.4,32.796304,-118.330472,Adaptive,2A
2,0.5,2.5,32.838358,-118.31689,Adaptive,2A
2,0.6,2.6,33.248293,-117.491137,Adaptive,2A
3,0.1,3.1,33.484891,-117.763218,Adaptive,3A
3,0.2,3.2,33.086635,-118.581504,Adaptive,3A
3,0.3,3.3,33.073104,-118.633815,Adaptive,3A
3,0.4,3.4,33.045827,-118.666105,Adaptive,3A
3,0.5,3.5,32.81484,-119.140641,Adaptive,3A
4,0.1,4.1,32.961396,-119.603254,Adaptive,4A
4,0.2,4.2,33.456715,-118.603802,Adaptive,4A
4,0.3,4.3,33.479794,-118.61448,Adaptive,4A
4,0.4,4.4,33.484689,-118.601231,Adaptive,4A
4,0.5,4.5,33.496341,-118.524042,Adaptive,4A
4,0.6,4.6,33.64138,-118.228911,Adaptive,4A
5,0.1,5.1,33.902809,-118.465987,Adaptive,5A
5,0.2,5.2,33.225169,-119.845509,Adaptive,5A
6,0.1,6.1,33.366699,-120.388743,Adaptive,6A
6,0.2,6.2,34.048125,-119.010081,Adaptive,6A
7,0.1,7.1,34.223081,-119.417696,Adaptive,7A
7,0.2,7.2,34.074546,-119.722385,Adaptive,7A
7,0.3,7.3,34.090314,-119.931615,Adaptive,7A
7,0.4,7.4,34.075988,-119.971645,Adaptive,7A
7,0.5,7.5,33.990034,-119.941742,Adaptive,7A
7,0.6,7.6,33.915539,-119.938734,Adaptive,7A
7,0.7,7.7,33.87289,-120.015663,Adaptive,7A
7,0.8,7.8,33.879041,-120.121238,Adaptive,7A
7,0.9,7.9,33.544686,-120.802711,Adaptive,7A
8,0.1,8.1,33.760588,-121.248042,Adaptive,8A
8,0.2,8.2,34.082277,-120.529546,Adaptive,8A
8,0.3,8.3,34.10281,-120.532989,Adaptive,8A
8,0.4,8.4,34.137896,-120.472149,Adaptive,8A
8,0.5,8.5,34.126918,-120.429389,Adaptive,8A
8,0.6,8.6,34.394173,-119.831229,Adaptive,8A
9,0.1,9.1,34.458867,-120.504717,Adaptive,9A
9,0.2,9.2,33.791155,-121.897852,Adaptive,9A
10,0.1,10.1,34.092227,-122.066017,Adaptive,10A
10,0.2,10.2,34.761007,-120.668243,Adaptive,10A
11,0.1,11.1,35.108486,-120.740556,Adaptive,11A
11,0.2,11.2,34.444463,-122.146441,Adaptive,11A
12,0.1,12.1,34.720112,-122.345485,Adaptive,12A
12,0.2,12.2,35.407432,-120.947085,Adaptive,12A
13,0.1,13.1,35.641319,-121.258974,Adaptive,13A
13,0.2,13.2,34.972889,-122.67464,Adaptive,13A
14,0.1,14.1,35.236766,-122.910974,Adaptive,14A
14,0.2,14.2,35.909364,-121.494391,Adaptive,14A
15,0.1,15.1,36.183935,-121.721616,Adaptive,15A
15,0.2,15.2,35.513177,-123.145529,Adaptive,15A
16,0.1,16.1,35.792596,-123.373413,Adaptive,16A
16,0.2,16.2,36.460108,-121.943672,Adaptive,16A
17,0.1,17.1,36.866078,-121.883688,Adaptive,17A
17,0.2,17.2,36.188372,-123.311404,Adaptive,17A
18,0.1,18.1,36.406137,-123.743015,Adaptive,18A
18,0.2,18.2,37.058358,-122.294841,Adaptive,18A
19,0.1,19.1,37.373328,-122.481064,Adaptive,19A
19,0.2,19.2,36.699734,-123.923392,Adaptive,19A
20,0.1,20.1,36.956626,-124.207281,Adaptive,20A
20,0.2,20.2,37.623118,-122.752895,Adaptive,20A
21,0.1,21.1,37.86571,-123.05995,Adaptive,21A
21,0.2,21.2,37.19571,-124.514519,Adaptive,21A
22,0.1,22.1,37.592234,-124.49628,Adaptive,22A
22,0.2,22.2,38.256559,-123.031946,Adaptive,22A
23,0.1,23.1,38.520499,-123.287862,Adaptive,23A
23,0.2,23.2,37.857865,-124.76119,Adaptive,23A
24,0.1,24.1,38.108106,-125.061131,Adaptive,24A
24,0.2,24.2,38.78142,-123.590715,Adaptive,24A
25,0.1,25.1,39.09774,-123.736681,Adaptive,25A
25,0.2,25.2,38.434361,-125.210708,Adaptive,25A
26,0.1,26.1,38.76153,-125.32241,Adaptive,26A
26,0.2,26.2,39.430389,-123.8383,Adaptive,26A
27,0.1,27.1,39.796896,-123.876666,Adaptive,27A
27,0.2,27.2,39.127343,-125.37021,Adaptive,27A
28,0.1,28.1,39.39364,-125.626253,Adaptive,28A
28,0.2,28.2,40.064706,-124.126117,Adaptive,28A
29,0.1,29.1,40.330873,-124.376911,Adaptive,29A
29,0.2,29.2,39.66163,-125.883141,Adaptive,29A
30,0.1,30.1,40.062053,-125.855498,Adaptive,30A
30,0.2,30.2,40.731585,-124.341491,Adaptive,30A
31,0.1,31.1,41.18193,-124.208352,Adaptive,31A
31,0.2,31.2,40.51535,-125.732473,Adaptive,31A
32,0.1,32.1,40.908539,-125.716266,Adaptive,32A
32,0.2,32.2,41.585365,-124.188222,Adaptive,32A
33,0.1,33.1,41.854984,-124.395865,Adaptive,33A
33,0.2,33.2,41.187489,-125.939303,Adaptive,33A
0,0.1,0.1,32.10232,-118.632779,Compulsory,0
0,0.2,0.2,32.459767,-117.923966,Compulsory,0
0,0.3,0.3,32.630818,-117.833348,Compulsory,0
0,0.4,0.4,32.609336,-117.62041,Compulsory,0
0,0.5,0.5,32.776858,-117.279304,Compulsory,0
1,0.1,1.1,33.125822,-117.364916,Compulsory,1
1,0.2,1.2,33.035989,-117.548929,Compulsory,1
1,0.3,1.3,32.445871,-118.728405,Compulsory,1
2,0.1,2.1,32.690124,-119.004127,Compulsory,2
2,0.2,2.2,32.905439,-118.568497,Compulsory,2
2,0.3,2.3,33.04577,-118.665899,Compulsory,2
2,0.4,2.4,33.073427,-118.633621,Compulsory,2
2,0.5,2.5,33.085823,-118.580956,Compulsory,2
2,0.6,2.6,32.955105,-118.46883,Compulsory,2
2,0.7,2.7,33.364274,-117.634766,Compulsory,2
3,0.1,3.1,33.581789,-117.973563,Compulsory,3
3,0.2,3.2,33.401043,-118.337848,Compulsory,3
3,0.3,3.3,33.335095,-118.284859,Compulsory,3
3,0.4,3.4,33.290306,-118.294461,Compulsory,3
3,0.5,3.5,33.287319,-118.33038,Compulsory,3
3,0.6,3.6,33.293591,-118.402574,Compulsory,3
3,0.7,3.7,33.322022,-118.498024,Compulsory,3
3,0.8,3.8,32.897048,-119.35337,Compulsory,3
4,0.1,4.1,33.052352,-119.795738,Compulsory,4
4,0.2,4.2,33.205988,-119.490466,Compulsory,4
4,0.3,4.3,33.19834,-119.43816,Compulsory,4
4,0.4,4.4,33.218653,-119.370788,Compulsory,4
4,0.5,4.5,33.269054,-119.36425,Compulsory,4
4,0.6,4.6,33.737995,-118.425557,Compulsory,4
5,0.1,5.1,34.009768,-118.687095,Compulsory,5
5,0.2,5.2,33.328457,-120.062163,Compulsory,5
6,0.1,6.1,33.428016,-120.657705,Compulsory,6
6,0.2,6.2,33.980396,-119.535547,Compulsory,6
6,0.3,6.3,33.987204,-119.51318,Compulsory,6
6,0.4,6.4,33.996161,-119.503502,Compulsory,6
6,0.5,6.5,34.045324,-119.402698,Compulsory,6
6,0.6,6.6,34.107985,-119.382043,Compulsory,6
6,0.7,6.7,34.107062,-119.27723,Compulsory,6
7,0.1,7.1,34.35266,-119.557537,Compulsory,7
7,0.2,7.2,34.215612,-119.843611,Compulsory,7
7,0.3,7.3,34.231102,-119.91175,Compulsory,7
7,0.4,7.4,34.16793,-119.941157,Compulsory,7
7,0.5,7.5,34.067114,-120.145574,Compulsory,7
7,0.6,7.6,34.079051,-120.199368,Compulsory,7
7,0.7,7.7,34.068904,-120.2797,Compulsory,7
7,0.8,7.8,34.003818,-120.272528,Compulsory,7
7,0.9,7.9,33.677881,-120.94101,Compulsory,7
8,0.1,8.1,33.783118,-121.538707,Compulsory,8
8,0.2,8.2,34.293195,-120.492361,Compulsory,8
8,0.3,8.3,34.356615,-120.471631,Compulsory,8
8,0.4,8.4,34.340138,-120.396916,Compulsory,8
8,0.5,8.5,34.457675,-120.151997,Compulsory,8
9,0.6,9.6,34.575869,-120.681828,Compulsory,9
9,0.7,9.7,33.889708,-122.06317,Compulsory,9
10,0.8,10.8,34.252914,-122.122896,Compulsory,10
10,0.9,10.9,34.922754,-120.719399,Compulsory,10
11,0.1,11.1,35.228812,-120.905666,Compulsory,11
11,0.2,11.2,34.563743,-122.31273,Compulsory,11
12,0.1,12.1,34.854186,-122.516353,Compulsory,12
12,0.2,12.2,35.515617,-121.098463,Compulsory,12
13,0.1,13.1,35.778379,-121.354421,Compulsory,13
13,0.2,13.2,35.119577,-122.780775,Compulsory,13
14,0.1,14.1,35.382538,-123.033976,Compulsory,14
14,0.2,14.2,36.043158,-121.603438,Compulsory,14
15,0.1,15.1,36.283725,-121.9028,Compulsory,15
15,0.2,15.2,35.623412,-123.331636,Compulsory,15
16,0.1,16.1,35.960663,-123.42752,Compulsory,16
16,0.2,16.2,36.622311,-121.988305,Compulsory,16
17,0.1,17.1,36.945604,-122.146628,Compulsory,17
17,0.2,17.2,36.264974,-123.585253,Compulsory,17
18,0.1,18.1,36.521046,-123.879506,Compulsory,18
18,0.2,18.2,37.191955,-122.439743,Compulsory,18
19,0.1,19.1,37.523347,-122.551596,Compulsory,19
19,0.2,19.2,36.849743,-123.998927,Compulsory,19
20,0.1,20.1,37.111127,-124.284069,Compulsory,20
20,0.2,20.2,37.685633,-123.024922,Compulsory,20
20,0.3,20.3,37.664989,-122.984359,Compulsory,20
20,0.4,20.4,37.670697,-122.969997,Compulsory,20
20,0.5,20.5,37.70926,-122.971985,Compulsory,20
20,0.6,20.6,37.776062,-122.825997,Compulsory,20
20,0.7,20.7,37.819272,-122.805257,Compulsory,20
21,0.1,21.1,38.071166,-123.019164,Compulsory,21
21,0.2,21.2,37.404076,-124.478673,Compulsory,21
22,0.1,22.1,37.737914,-124.612394,Compulsory,22
22,0.2,22.2,38.386896,-123.132836,Compulsory,22
23,0.1,23.1,38.649963,-123.423907,Compulsory,23
23,0.2,23.2,37.992875,-124.924089,Compulsory,23
24,0.1,24.1,38.250666,-125.22322,Compulsory,24
24,0.2,24.2,38.894492,-123.727937,Compulsory,24
25,0.1,25.1,39.242261,-123.803458,Compulsory,25
25,0.2,25.2,38.588088,-125.295862,Compulsory,25
26,0.1,26.1,38.968602,-125.325778,Compulsory,26
26,0.2,26.2,39.611455,-123.814171,Compulsory,26
27,0.1,27.1,39.90633,-123.985685,Compulsory,27
27,0.2,27.2,39.263173,-125.503967,Compulsory,27
28,0.1,28.1,39.519461,-125.802022,Compulsory,28
28,0.2,28.2,40.160837,-124.278689,Compulsory,28
29,0.1,29.1,40.446427,-124.503863,Compulsory,29
29,0.2,29.2,39.806719,-126.030528,Compulsory,29
30,0.1,30.1,40.319643,-125.758537,Compulsory,30
30,0.2,30.2,40.952834,-124.213361,Compulsory,30
31,0.1,31.1,41.346069,-124.195637,Compulsory,31
31,0.2,31.2,40.708137,-125.755972,Compulsory,31
32,0.1,32.1,41.064671,-125.796497,Compulsory,32
32,0.2,32.2,41.728918,-124.257252,Compulsory,32
