vessel_name,sample_date,set_number,data_type_name,species_name,sequence_number,sample_weight,weight_unit_name,length_unit_name,comment,fish_number,mfbds_v_fish.fish_length,fish_weight,weight_gm,sex_name,maturity,mfbds_v_sample.length_type_name,age_structure_name,best_age
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,2,149,44,44,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,101,140,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,100,146,50,50,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,99,144,50,50,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,98,136,34,34,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,97,142,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,96,146,50,50,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,95,133,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,94,140,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,93,131,28,28,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,1,140,40,40,Male,2,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,4,147,44,44,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,6,152,44,44,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,3,132,28,28,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,5,146,46,46,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,83,139,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,16,135,32,32,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,41,141,37,37,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,17,150,42,42,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,22,149,36,36,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,19,148,40,40,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,34,144,40,40,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,14,140,38,38,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,52,143,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,53,141,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,54,144,45,45,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,55,132,24,24,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,56,154,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,57,137,28,28,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,58,145,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,59,128,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,60,148,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,61,136,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,62,144,39,39,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,63,140,45,45,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,64,143,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,65,149,54,54,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,66,135,34,34,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,67,144,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,68,146,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,69,141,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,70,142,35,35,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,71,140,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,72,150,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,73,138,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,74,146,44,44,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,75,122,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,76,135,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,77,133,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,78,146,51,51,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,79,145,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,80,145,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,81,150,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,82,141,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,84,140,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,85,144,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,86,136,35,35,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,87,146,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,88,132,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,89,149,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,90,127,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,91,140,39,39,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,92,149,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,23,137,42,42,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,25,141,38,38,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,44,141,34,34,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,12,139,32,32,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,24,136,36,36,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,39,137,40,40,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,13,136,31,31,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,11,151,46,46,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,42,143,44,44,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,31,145,40,40,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,27,142,34,34,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,43,148,41,41,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,21,148,34,34,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,18,142,40,40,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,49,138,38,38,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,26,142,48,48,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,33,138,32,32,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,47,141,36,36,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,45,144,44,44,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,46,137,42,42,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,20,147,38,38,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,38,148,39,39,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,29,144,40,40,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,9,133,31,31,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,10,152,43,43,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,50,147,46,46,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,30,141,39,39,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,15,141,42,42,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,37,136,33,33,Male,1,Standard length,Otolith,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,8,148,42,42,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,7,147,37,37,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,28,145,47,47,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,35,150,50,50,Female,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,48,146,45,45,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,36,146,47,47,Female,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,32,147,49,49,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,40,143,36,36,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,51,148,50,50,Male,2,Standard length,Otolith,1
LISA MARIE,25-Jun-19,3,Research,Pacific Sardine,002,,Grams,Millimeters,Set 3,1,156,54,54,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,19,150,48,48,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,35,132,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,22,132,29,29,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,23,145,40,40,Female,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,12,143,38,38,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,26,136,34,34,Female,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,44,136,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,2,133,32,32,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,8,149,46,46,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,16,131,28,28,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,34,136,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,33,135,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,32,134,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,1,154,48,48,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,40,125,24,24,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,28,135,28,28,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,31,130,28,28,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,43,136,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,15,130,28,28,Female,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,39,131,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,18,147,40,40,Female,1,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,21,138,32,32,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,20,135,30,30,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,17,140,34,34,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,30,132,27,27,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,11,135,32,32,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,24,140,32,32,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,10,152,52,52,Female,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,7,133,30,30,Unknown,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,38,130,28,28,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,4,135,32,32,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,37,125,22,22,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,14,129,28,28,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,5,148,44,44,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,45,133,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,29,141,36,36,Female,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,6,138,36,36,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,25,150,44,44,Female,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,13,140,36,36,Male,1,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,9,138,36,36,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,36,140,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,42,145,38,38,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,41,125,24,24,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,3,140,40,40,Unknown,,Standard length,Otolith,1
LISA MARIE,26-Jun-19,1,Research,Pacific Sardine,003,,Grams,Millimeters,Set 1,27,130,28,28,Unknown,,Standard length,Otolith,1
LISA MARIE,02-Jul-19,1,Research,Pacific Sardine,004,,Grams,Millimeters,Set 1,1,243,214,214,Female,3,Standard length,Otolith,2
